Census_Tract_Name,Total population
Census Tract 1011.10; Los Angeles County; California!!Estimate,"4,152"
Census Tract 1011.22; Los Angeles County; California!!Estimate,"4,198"
Census Tract 1012.20; Los Angeles County; California!!Estimate,"3,434"
Census Tract 1012.21; Los Angeles County; California!!Estimate,"3,931"
Census Tract 1012.22; Los Angeles County; California!!Estimate,"2,572"
Census Tract 1013; Los Angeles County; California!!Estimate,"4,210"
Census Tract 1014; Los Angeles County; California!!Estimate,"3,489"
Census Tract 1021.03; Los Angeles County; California!!Estimate,"2,054"
Census Tract 1021.04; Los Angeles County; California!!Estimate,"4,052"
Census Tract 1021.05; Los Angeles County; California!!Estimate,"1,664"
Census Tract 1021.07; Los Angeles County; California!!Estimate,"3,595"
Census Tract 1031.01; Los Angeles County; California!!Estimate,"2,705"
Census Tract 1031.02; Los Angeles County; California!!Estimate,"4,468"
Census Tract 1032.01; Los Angeles County; California!!Estimate,"4,425"
Census Tract 1032.02; Los Angeles County; California!!Estimate,"1,945"
Census Tract 1033; Los Angeles County; California!!Estimate,"4,021"
Census Tract 1034.01; Los Angeles County; California!!Estimate,"2,552"
Census Tract 1034.02; Los Angeles County; California!!Estimate,"3,809"
Census Tract 1041.03; Los Angeles County; California!!Estimate,"4,257"
Census Tract 1041.05; Los Angeles County; California!!Estimate,"5,890"
Census Tract 1041.08; Los Angeles County; California!!Estimate,"4,952"
Census Tract 1041.24; Los Angeles County; California!!Estimate,"4,090"
Census Tract 1042.01; Los Angeles County; California!!Estimate,"4,325"
Census Tract 1042.03; Los Angeles County; California!!Estimate,"4,978"
Census Tract 1042.04; Los Angeles County; California!!Estimate,"3,736"
Census Tract 1043.10; Los Angeles County; California!!Estimate,"4,476"
Census Tract 1043.21; Los Angeles County; California!!Estimate,"2,926"
Census Tract 1043.22; Los Angeles County; California!!Estimate,"1,856"
Census Tract 1044.01; Los Angeles County; California!!Estimate,"3,083"
Census Tract 1044.03; Los Angeles County; California!!Estimate,"2,292"
Census Tract 1044.04; Los Angeles County; California!!Estimate,"3,374"
Census Tract 1045; Los Angeles County; California!!Estimate,"3,539"
Census Tract 1046.10; Los Angeles County; California!!Estimate,"3,124"
Census Tract 1046.20; Los Angeles County; California!!Estimate,"3,266"
Census Tract 1047.01; Los Angeles County; California!!Estimate,"3,916"
Census Tract 1047.03; Los Angeles County; California!!Estimate,"2,306"
Census Tract 1047.04; Los Angeles County; California!!Estimate,"4,662"
Census Tract 1048.21; Los Angeles County; California!!Estimate,"3,476"
Census Tract 1048.22; Los Angeles County; California!!Estimate,"2,199"
Census Tract 1048.23; Los Angeles County; California!!Estimate,"3,195"
Census Tract 1048.24; Los Angeles County; California!!Estimate,"2,582"
Census Tract 1060.10; Los Angeles County; California!!Estimate,"4,049"
Census Tract 1060.20; Los Angeles County; California!!Estimate,"4,850"
Census Tract 1061.11; Los Angeles County; California!!Estimate,"4,707"
Census Tract 1061.12; Los Angeles County; California!!Estimate,"5,035"
Census Tract 1061.13; Los Angeles County; California!!Estimate,"3,835"
Census Tract 1061.14; Los Angeles County; California!!Estimate,"6,929"
Census Tract 1064.03; Los Angeles County; California!!Estimate,"3,860"
Census Tract 1064.05; Los Angeles County; California!!Estimate,"4,149"
Census Tract 1064.06; Los Angeles County; California!!Estimate,"6,292"
Census Tract 1064.07; Los Angeles County; California!!Estimate,"2,333"
Census Tract 1064.08; Los Angeles County; California!!Estimate,"3,832"
Census Tract 1065.10; Los Angeles County; California!!Estimate,"5,599"
Census Tract 1065.20; Los Angeles County; California!!Estimate,"5,484"
Census Tract 1066.03; Los Angeles County; California!!Estimate,"3,681"
Census Tract 1066.04; Los Angeles County; California!!Estimate,"4,349"
Census Tract 1066.41; Los Angeles County; California!!Estimate,"2,096"
Census Tract 1066.42; Los Angeles County; California!!Estimate,"3,514"
Census Tract 1066.43; Los Angeles County; California!!Estimate,"4,311"
Census Tract 1066.45; Los Angeles County; California!!Estimate,"3,672"
Census Tract 1066.46; Los Angeles County; California!!Estimate,"3,092"
Census Tract 1066.48; Los Angeles County; California!!Estimate,"4,713"
Census Tract 1066.49; Los Angeles County; California!!Estimate,"2,689"
Census Tract 1070.10; Los Angeles County; California!!Estimate,"2,997"
Census Tract 1070.20; Los Angeles County; California!!Estimate,"4,921"
Census Tract 1081.01; Los Angeles County; California!!Estimate,"2,128"
Census Tract 1081.02; Los Angeles County; California!!Estimate,"3,477"
Census Tract 1081.03; Los Angeles County; California!!Estimate,"3,053"
Census Tract 1081.04; Los Angeles County; California!!Estimate,"1,754"
Census Tract 1082.02; Los Angeles County; California!!Estimate,"10,248"
Census Tract 1082.03; Los Angeles County; California!!Estimate,"3,157"
Census Tract 1082.04; Los Angeles County; California!!Estimate,"1,782"
Census Tract 1091; Los Angeles County; California!!Estimate,"2,861"
Census Tract 1092; Los Angeles County; California!!Estimate,"2,863"
Census Tract 1093; Los Angeles County; California!!Estimate,"2,905"
Census Tract 1094; Los Angeles County; California!!Estimate,"3,620"
Census Tract 1095; Los Angeles County; California!!Estimate,"3,907"
Census Tract 1096.01; Los Angeles County; California!!Estimate,"5,042"
Census Tract 1096.03; Los Angeles County; California!!Estimate,"4,038"
Census Tract 1096.04; Los Angeles County; California!!Estimate,"2,721"
Census Tract 1097; Los Angeles County; California!!Estimate,"4,259"
Census Tract 1098; Los Angeles County; California!!Estimate,"4,625"
Census Tract 1111; Los Angeles County; California!!Estimate,"2,965"
Census Tract 1112.01; Los Angeles County; California!!Estimate,"3,275"
Census Tract 1112.02; Los Angeles County; California!!Estimate,"5,742"
Census Tract 1112.04; Los Angeles County; California!!Estimate,"5,902"
Census Tract 1112.05; Los Angeles County; California!!Estimate,"3,627"
Census Tract 1112.06; Los Angeles County; California!!Estimate,"4,295"
Census Tract 1113.02; Los Angeles County; California!!Estimate,"4,967"
Census Tract 1113.03; Los Angeles County; California!!Estimate,"4,567"
