Census_Tract_Name,Total population
1011.10,4152
1011.22,4198
1012.20,3434
1012.21,3931
1012.22,2572
1013,4210
1014,3489
1021.03,2054
1021.04,4052
1021.05,1664
1021.07,3595
1031.01,2705
1031.02,4468
1032.01,4425
1032.02,1945
1033,4021
1034.01,2552
1034.02,3809
1041.03,4257
1041.05,5890
1041.08,4952
1041.24,4090
1042.01,4325
1042.03,4978
1042.04,3736
1043.10,4476
1043.21,2926
1043.22,1856
1044.01,3083
1044.03,2292
1044.04,3374
1045,3539
1046.10,3124
1046.20,3266
1047.01,3916
1047.03,2306
1047.04,4662
1048.21,3476
1048.22,2199
1048.23,3195
1048.24,2582
1060.10,4049
1060.20,4850
1061.11,4707
1061.12,5035
1061.13,3835
1061.14,6929
1064.03,3860
1064.05,4149
1064.06,6292
1064.07,2333
1064.08,3832
1065.10,5599
1065.20,5484
1066.03,3681
1066.04,4349
1066.41,2096
1066.42,3514
1066.43,4311
1066.45,3672
1066.46,3092
1066.48,4713
1066.49,2689
1070.10,2997
1070.20,4921
1081.01,2128
1081.02,3477
1081.03,3053
1081.04,1754
1082.02,10248
1082.03,3157
1082.04,1782
1091,2861
1092,2863
1093,2905
1094,3620
1095,3907
1096.01,5042
1096.03,4038
1096.04,2721
1097,4259
1098,4625
1111,2965
1112.01,3275
1112.02,5742
1112.04,5902
1112.05,3627
1112.06,4295
1113.02,4967
1113.03,4567
1113.04,3082
1114.01,2193
1114.02,5998
1131.01,3540
1131.02,2980
1132.11,4138
1132.12,2872
1132.13,5068
1132.31,2233
1132.32,4777
1132.34,5640
1132.35,1690
1132.37,4765
1132.38,4596
1132.39,2134
1133.01,4255
1133.03,3799
1133.22,4761
1133.23,3904
1133.24,2837
1134.23,2845
1134.24,3133
1134.25,4254
1134.26,2302
1134.27,2386
1134.28,4120
1151.01,5034
1151.03,2606
1151.04,4404
1152.02,6034
1152.03,1929
1152.04,3953
1153.01,4438
1153.02,3839
1154.01,5637
1154.03,3379
1154.04,2619
1171.01,5233
1171.02,2427
1172.01,4108
1172.02,2818
1173.01,3808
1173.02,4950
1173.03,4162
1174.04,5216
1174.05,3048
1174.07,3185
1174.08,2505
1175.10,3790
1175.20,4345
1175.30,5741
1190.01,4283
1190.03,3332
1190.04,2759
1192.01,3976
1192.02,4674
1193.10,3767
1193.20,4292
1193.40,3748
1193.41,2744
1193.42,2791
1194,4650
1197,4414
1198.01,2702
1198.02,3094
1199,4503
1200.10,2643
1200.20,3973
1200.30,2576
1201.03,2879
1201.04,2603
1201.05,2755
1201.06,4282
1201.07,4130
1201.08,4558
1203,5469
1204,5820
1210.10,5213
1210.20,3481
1211.01,3345
1211.02,2254
1212.10,3168
1212.21,2047
1212.22,5111
1216,2604
1218.01,4302
1218.02,3192
1219,3329
1220,5326
1221.20,4387
1221.21,2726
1221.22,2562
1222,3625
1224.10,4083
1224.20,5328
1230.10,3828
1230.20,2804
1231.03,3893
1231.04,4700
1232.03,2926
1232.04,3333
1232.05,2834
1232.06,2470
1233.01,3956
1233.03,2842
1233.04,4435
1234.10,3469
1234.20,4453
1235.10,4652
1235.20,2488
1236.01,5498
1236.02,3099
1237,3827
1238,5552
1239.01,4369
1239.02,2758
1240,4502
1241.02,3653
1241.03,1891
1241.04,2777
1241.05,2191
1242.01,3445
1242.03,2063
1242.04,2537
1243,3094
1244,4470
1245,2728
1246,2849
1247,5251
1249.02,3129
1249.03,3964
1251.01,4465
1251.02,2053
1252,4203
1253.10,4170
1253.21,2840
1253.22,2090
1254.02,3821
1254.03,2594
1254.04,3001
1255.01,2969
1255.02,3696
1256,2990
1271.02,5292
1271.03,3354
1271.04,4327
1272.10,5434
1272.20,4750
1273,4301
1274,5638
1275.20,4868
1276.03,2873
1276.04,3151
1276.05,3682
1276.06,3218
1277.11,3231
1277.12,4047
1278.03,5002
1278.04,4433
1278.05,3514
1278.06,3729
1279.10,5072
1279.20,4385
1281.01,2823
1281.02,4892
1282.10,5000
1282.20,2992
1283.02,4559
1283.03,3432
1284,4274
1285,4401
1286.01,4842
1286.02,2687
1287.03,3576
1287.04,2328
1288.01,3864
1288.02,4317
1289.10,4528
1310.21,3237
1310.22,2877
1310.23,2655
1310.24,3894
1311,3017
1312,3681
1313,4316
1314,5895
1316,4942
1317.01,4877
1317.02,3669
1318.01,2879
1318.02,2337
1319,3959
1320.01,2714
1320.02,3585
1321.01,4113
1321.02,4993
1323.01,3616
1323.02,3176
1325.01,4658
1325.02,3398
1327,4922
1329,3877
1330,4096
1331.01,1709
1331.02,3926
