LABEL,crash_count
1031.02,1
1043.22,1
1093.00,1
1094.00,1
1113.03,1
1133.03,1
1134.28,1
1153.02,1
1154.03,1
1173.02,1
1190.03,1
1201.05,1
1201.06,1
1204.00,1
1211.02,1
1218.02,1
1220.00,1
1234.20,1
1239.01,1
1241.02,1
1245.00,1
1273.00,1
1275.20,1
1276.03,1
1277.12,1
1310.24,1
1318.02,1
1330.00,1
1345.22,1
1349.01,1
1352.01,1
1393.01,1
1393.03,1
1411.02,1
1415.00,1
1416.00,1
1431.02,1
1434.02,1
1810.00,1
1831.01,1
1834.02,1
1836.10,2
1838.10,1
1852.02,1
1864.01,1
1882.02,1
1891.02,1
1897.02,2
1899.04,1
1901.01,1
1902.01,2
1903.02,1
1903.03,2
1904.02,1
1905.10,1
1905.20,2
1907.01,1
1908.01,1
1909.02,1
1912.01,2
1915.00,2
1916.10,5
1923.00,2
1924.20,1
1925.10,2
1925.20,1
1926.20,1
1927.00,1
1953.00,1
1956.00,1
1974.20,1
1977.00,2
1990.02,2
2035.00,2
2036.01,1
2039.00,1
2041.20,1
2042.00,1
2049.10,1
2051.20,1
2060.10,1
2060.50,2
2060.51,2
2060.54,1
2062.01,2
2063.01,2
2063.02,1
2063.03,1
2071.01,1
2071.02,2
2073.08,1
2074.00,1
2075.02,2
2077.11,3
2077.12,4
2079.01,1
2079.02,2
2085.02,1
2088.01,2
2093.00,1
2094.01,1
2095.10,2
2100.10,1
2110.00,1
2111.21,1
2115.00,1
2117.03,1
2118.03,1
2121.02,1
2123.06,2
2126.10,1
2127.02,2
2128.00,2
2129.00,1
2131.00,1
2132.02,1
2133.10,1
2133.20,1
2134.02,1
2145.01,1
2147.00,1
2149.02,1
2151.01,1
2151.02,1
2170.01,2
2171.01,1
2181.10,2
2187.02,1
2188.00,1
2197.00,2
2198.00,1
2200.00,1
2201.00,3
2211.10,2
2211.20,2
2212.20,3
2213.03,2
2213.04,1
2214.01,2
2214.02,2
2216.02,1
2217.10,2
2218.10,2
2226.00,3
2240.10,3
2240.20,4
2243.20,2
2246.00,2
2247.01,1
2247.02,4
2260.01,3
2260.02,7
2264.10,3
2264.20,1
2267.02,1
2281.00,1
2282.10,1
2285.00,3
2286.00,1
2291.00,1
2293.00,1
2294.20,2
2312.20,2
2314.00,2
2315.00,1
2316.01,1
2317.10,1
2317.20,4
2318.00,3
2319.01,1
2319.02,1
2321.10,1
2323.00,1
2324.02,1
2326.02,1
2327.02,1
2328.00,1
2342.00,1
2345.02,1
2349.02,1
2361.01,1
2361.02,1
2362.06,1
2371.02,2
2372.02,1
2374.01,1
2376.00,1
2377.10,2
