OBJECTID,Network,Bikeway,Street,From_,To_,Shape_Leng,Install_Date,Region,Bikeway_Type,Datasource_DT
1, ,Lane,MATEO ST, 6TH ST, 4TH PL / SANTA FE AV,,2019/03/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2, ,Lane,MATEO ST, 6TH ST, 4TH PL / SANTA FE AV,,2019/03/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
3, ,Lane,MATEO ST, 6TH ST, 4TH PL / SANTA FE AV,,2019/03/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
4, ,Lane,MATEO ST, 6TH ST, 4TH PL / SANTA FE AV,,2019/03/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
5,Backbone,Lane,98TH ST,HOBART BL,WESTERN AV,,2005/01/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
6,Backbone,Lane,ANAHEIM ST,MCDONOUGH AV,SCHLEY AV,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
7,Backbone,Lane,ANAHEIM ST,SCHLEY AV,SAMPSON AV,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
8,Backbone,Lane,ANAHEIM ST,295' W/O SIBSBEE AV,HENRY FORD AV,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
9,Backbone,Route,BEACON ST,14TH ST,15TH ST,,2005/01/01 00:00:00+00,Harbor,Route,2023/10/17 00:00:00+00
10,Backbone,Lane,CANOGA AV,MAYALL ST,LASSEN ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
11,Backbone,Lane,CANOGA AV,LEMARSH ST,MAYALL ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
12,Backbone,Protected Bike Lane,CENTRAL AV,101ST ST,102ND ST,,2023/01/21 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
13,Backbone,Protected Bike Lane,CENTRAL AV,LANZIT AV,112TH ST,,2023/04/27 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
14,Backbone,Protected Bike Lane,CENTRAL AV,CENTURY BL,101ST ST,,2023/01/21 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
15,Backbone,Protected Bike Lane,CENTRAL AV,114TH ST,IMPERIAL HY,,2023/04/27 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
16,Backbone,Lane,CHANDLER BL,SYLMAR AV,VAN NUYS BL,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
17,Backbone,Buffer Bike Lane,CYPRESS AV,THORPE AV,THORPE AV,,2022/01/05 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
18,Backbone,Buffer Bike Lane,CYPRESS AV,LOOSMORE ST,ROSEVIEW AV,,2022/01/05 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
19,Backbone,Buffer Bike Lane,CYPRESS AV,GRANADA ST,ARVIA ST,,2022/01/05 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
20,Backbone,Protected Bike Lane,FIGUEROA ST,27TH ST,27TH ST,,2018/06/24 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
