GEO_ID,FIPS,Census_Tract_Name,Total population
1400000U,6037101110,1011.1,4152
1400000U,6037101122,1011.22,4198
1400000U,6037101220,1012.2,3434
1400000U,6037101221,1012.21,3931
1400000U,6037101222,1012.22,2572
1400000U,6037101300,1013,4210
1400000U,6037101400,1014,3489
1400000U,6037102103,1021.03,2054
1400000U,6037102104,1021.04,4052
1400000U,6037102105,1021.05,1664
1400000U,6037102107,1021.07,3595
1400000U,6037103101,1031.01,2705
1400000U,6037103102,1031.02,4468
1400000U,6037103201,1032.01,4425
1400000U,6037103202,1032.02,1945
1400000U,6037103300,1033,4021
1400000U,6037103401,1034.01,2552
1400000U,6037103402,1034.02,3809
1400000U,6037104103,1041.03,4257
1400000U,6037104105,1041.05,5890
1400000U,6037104108,1041.08,4952
1400000U,6037104124,1041.24,4090
1400000U,6037104201,1042.01,4325
1400000U,6037104203,1042.03,4978
1400000U,6037104204,1042.04,3736
1400000U,6037104310,1043.1,4476
1400000U,6037104321,1043.21,2926
1400000U,6037104322,1043.22,1856
1400000U,6037104401,1044.01,3083
1400000U,6037104403,1044.03,2292
1400000U,6037104404,1044.04,3374
1400000U,6037104500,1045,3539
1400000U,6037104610,1046.1,3124
1400000U,6037104620,1046.2,3266
1400000U,6037104701,1047.01,3916
1400000U,6037104703,1047.03,2306
1400000U,6037104704,1047.04,4662
1400000U,6037104821,1048.21,3476
1400000U,6037104822,1048.22,2199
1400000U,6037104823,1048.23,3195
1400000U,6037104824,1048.24,2582
1400000U,6037106010,1060.1,4049
1400000U,6037106020,1060.2,4850
1400000U,6037106111,1061.11,4707
1400000U,6037106112,1061.12,5035
1400000U,6037106113,1061.13,3835
1400000U,6037106114,1061.14,6929
1400000U,6037106403,1064.03,3860
1400000U,6037106405,1064.05,4149
1400000U,6037106406,1064.06,6292
1400000U,6037106407,1064.07,2333
1400000U,6037106408,1064.08,3832
1400000U,6037106510,1065.1,5599
1400000U,6037106520,1065.2,5484
1400000U,6037106603,1066.03,3681
1400000U,6037106604,1066.04,4349
1400000U,6037106641,1066.41,2096
1400000U,6037106642,1066.42,3514
1400000U,6037106643,1066.43,4311
1400000U,6037106645,1066.45,3672
1400000U,6037106646,1066.46,3092
1400000U,6037106648,1066.48,4713
1400000U,6037106649,1066.49,2689
1400000U,6037107010,1070.1,2997
1400000U,6037107020,1070.2,4921
1400000U,6037108101,1081.01,2128
1400000U,6037108102,1081.02,3477
1400000U,6037108103,1081.03,3053
1400000U,6037108104,1081.04,1754
1400000U,6037108202,1082.02,10248
1400000U,6037108203,1082.03,3157
1400000U,6037108204,1082.04,1782
1400000U,6037109100,1091,2861
1400000U,6037109200,1092,2863
1400000U,6037109300,1093,2905
1400000U,6037109400,1094,3620
1400000U,6037109500,1095,3907
1400000U,6037109601,1096.01,5042
1400000U,6037109603,1096.03,4038
1400000U,6037109604,1096.04,2721
1400000U,6037109700,1097,4259
1400000U,6037109800,1098,4625
1400000U,6037111100,1111,2965
1400000U,6037111201,1112.01,3275
1400000U,6037111202,1112.02,5742
1400000U,6037111204,1112.04,5902
1400000U,6037111205,1112.05,3627
1400000U,6037111206,1112.06,4295
1400000U,6037111302,1113.02,4967
1400000U,6037111303,1113.03,4567
1400000U,6037111304,1113.04,3082
1400000U,6037111401,1114.01,2193
1400000U,6037111402,1114.02,5998
1400000U,6037113101,1131.01,3540
1400000U,6037113102,1131.02,2980
1400000U,6037113211,1132.11,4138
1400000U,6037113212,1132.12,2872
1400000U,6037113213,1132.13,5068
1400000U,6037113231,1132.31,2233
1400000U,6037113232,1132.32,4777
1400000U,6037113234,1132.34,5640
1400000U,6037113235,1132.35,1690
1400000U,6037113237,1132.37,4765
1400000U,6037113238,1132.38,4596
1400000U,6037113239,1132.39,2134
1400000U,6037113301,1133.01,4255
1400000U,6037113303,1133.03,3799
1400000U,6037113322,1133.22,4761
1400000U,6037113323,1133.23,3904
1400000U,6037113324,1133.24,2837
1400000U,6037113423,1134.23,2845
1400000U,6037113424,1134.24,3133
1400000U,6037113425,1134.25,4254
1400000U,6037113426,1134.26,2302
1400000U,6037113427,1134.27,2386
1400000U,6037113428,1134.28,4120
1400000U,6037115101,1151.01,5034
